1,29.8,127.63,2531
2,24.22,117.47,2836
3,31.25,140.9,2612
4,13.71,107.68,2544
5,20.73,125.93,2438
6,17.52,105.84,2754
7,19.85,117.22,2124
8,42.92,140.91,3005
9,21.82,123.48,2578
10,47.55,157.53,3148
11,15.07,113.18,2669
12,36.94,150.34,3034
13,27.88,102.6,2368
14,27.02,132.29,2483
15,45.06,146.33,2590
16,58.14,146.33,3091
17,42.2,137.96,2738
18,36.68,115.11,2638
19,34.63,119.04,2553
20,61.58,158.27,3059
21,43.77,151.67,2754
22,37.92,140.62,2822
23,37.01,127.8,2840
24,32.92,122.39,2266
25,59.1,130.45,3531
26,39.5,134.45,2705
27,56.51,131.51,3061
28,39.14,145.21,2269
29,69.93,153.71,3519
30,61.45,161.07,3040
31,66.53,180.39,3425
32,70.15,171.29,3368
33,40.56,126.51,2744
34,72.37,160.33,3113
35,54.88,133.52,2771
36,57.41,170.58,2838
37,52.4,144.97,3372
38,58.74,152.07,2769
39,54.27,149.6,3011
40,50.2,132.09,3086
41,55.33,143.83,3050
42,72.62,157.3,3443
43,59.02,174.15,2871
44,43.14,152.88,3160
45,58.36,159.13,2808
46,78.93,193.29,3375
47,50.23,153.35,3160
48,52.43,128.44,2822
49,60.61,158.65,3300
50,88.26,183,3422
51,80.79,180.33,3170
52,86.44,168.38,3973
53,54.88,143.92,3109
54,86.16,181.88,3461
55,64.86,151.63,3158
56,82.44,166.76,3341
57,79.01,190.76,3598
58,87.16,187.26,3365
59,70.19,197.63,3267
60,68.02,184.75,3069
61,89.35,176,3707
62,64.1,176.56,3218
63,77.32,164.54,3645
64,89.08,197.39,3758
65,79.82,169.64,3140
66,109.65,203.23,4113
67,84.48,174.6,3622
68,74.32,189.65,3325
69,80.93,217.51,3164
70,91.79,190.19,3719
71,85.48,183.36,3463
72,107.92,204.62,3931
73,70.89,172.87,3138
74,83.42,201.62,3599
75,76.01,186.66,3435
76,99.1,198.94,3672
77,92.66,200.42,3624
78,100.02,196.14,3764
79,76.29,175.13,3297
80,90.5,209.8,3687
81,94,197.85,3554
82,84.26,183.56,3564
83,101.93,221.56,3545
84,83.4,191.1,3179
85,91.9,197.34,3429
86,128.15,245.78,4304
87,103.3,216.87,3632
88,110.15,224.13,3501
89,113.75,213.56,3915
90,107.77,207.6,3490
91,91.18,213.81,3617
92,118.05,239.48,4362
93,108.98,222.09,3674
94,105.01,214.18,3565
95,117.94,234.19,3860
96,108.48,229.71,4352
97,111.96,238.72,3959
98,125.57,234.54,4012
99,112.35,226.06,3590
100,120.83,214.12,4140
101,113.46,216.16,4165
102,119.47,203.85,4026
103,121.02,231.42,3911
104,124.4,228.51,4101
